iter	Passed	Remaining
0	20	10353
1	34	8709
2	51	8603
3	67	8348
4	83	8309
5	97	8036
6	112	7888
7	125	7748
8	139	7590
9	152	7467
10	165	7367
11	178	7250
12	190	7148
13	203	7066
14	217	7018
15	230	6972
16	243	6924
17	257	6889
18	269	6832
19	282	6781
20	296	6753
21	309	6714
22	321	6669
23	334	6628
24	345	6573
25	358	6540
26	371	6507
27	384	6477
28	396	6444
29	409	6408
30	422	6385
31	435	6364
32	447	6336
33	460	6315
34	473	6288
35	485	6259
36	499	6247
37	512	6236
38	525	6211
39	538	6192
40	550	6164
41	563	6146
42	577	6137
43	590	6117
44	603	6100
45	616	6084
46	631	6086
47	644	6069
48	657	6049
49	670	6031
50	682	6012
51	695	5992
52	709	5982
53	721	5960
54	733	5937
55	746	5919
56	759	5905
57	772	5888
58	785	5871
59	798	5855
60	811	5836
61	824	5822
62	836	5805
63	849	5785
64	861	5767
65	874	5752
66	887	5737
67	900	5722
68	913	5707
69	926	5691
70	940	5680
71	953	5665
72	965	5647
73	978	5631
74	990	5615
75	1003	5600
76	1016	5584
77	1029	5569
78	1042	5555
79	1055	5543
80	1068	5528
81	1082	5515
82	1094	5499
83	1107	5484
84	1120	5470
85	1133	5457
86	1146	5442
87	1159	5427
88	1172	5414
89	1185	5398
90	1199	5391
91	1211	5374
92	1223	5356
93	1236	5341
94	1250	5330
95	1262	5312
96	1274	5296
97	1287	5280
98	1299	5265
99	1312	5251
100	1325	5238
101	1338	5222
102	1351	5209
103	1363	5193
104	1376	5177
105	1389	5164
106	1401	5149
107	1414	5134
108	1426	5118
109	1439	5105
110	1453	5092
111	1465	5078
112	1478	5063
113	1491	5049
114	1504	5035
115	1516	5021
116	1528	5003
117	1541	4989
118	1554	4975
119	1566	4961
120	1579	4948
121	1592	4934
122	1605	4920
123	1618	4906
124	1630	4892
125	1643	4879
126	1657	4867
127	1669	4851
128	1681	4836
129	1694	4823
130	1707	4810
131	1719	4794
132	1732	4780
133	1745	4767
134	1757	4752
135	1770	4738
136	1783	4726
137	1796	4711
138	1809	4698
139	1822	4686
140	1835	4672
141	1847	4658
142	1860	4645
143	1873	4631
144	1887	4620
145	1900	4607
146	1913	4594
147	1925	4579
148	1938	4565
149	1950	4550
150	1961	4534
151	1974	4521
152	1986	4505
153	1999	4491
154	2012	4478
155	2025	4466
156	2038	4453
157	2050	4439
158	2064	4426
159	2076	4411
160	2088	4397
161	2101	4384
162	2114	4370
163	2126	4356
164	2139	4343
165	2152	4330
166	2165	4318
167	2177	4303
168	2190	4290
169	2204	4278
170	2216	4264
171	2229	4252
172	2242	4239
173	2255	4225
174	2268	4212
175	2280	4198
176	2293	4184
177	2306	4171
178	2318	4158
179	2331	4144
180	2343	4130
181	2357	4118
182	2369	4104
183	2382	4090
184	2395	4078
185	2408	4065
186	2421	4052
187	2433	4037
188	2446	4025
189	2459	4013
190	2472	3999
191	2485	3986
192	2497	3972
193	2510	3959
194	2522	3945
195	2535	3932
196	2547	3918
197	2560	3905
198	2573	3892
199	2585	3878
200	2598	3865
201	2610	3851
202	2623	3838
203	2636	3826
204	2649	3812
205	2662	3799
206	2675	3786
207	2687	3772
208	2699	3759
209	2713	3746
210	2725	3733
211	2738	3720
212	2751	3707
213	2764	3694
214	2777	3681
215	2790	3668
216	2803	3655
217	2816	3642
218	2828	3629
219	2841	3616
220	2854	3603
221	2867	3591
222	2880	3577
223	2892	3564
224	2906	3551
225	2917	3537
226	2930	3524
227	2943	3511
228	2956	3498
229	2968	3485
230	2981	3471
231	2993	3458
232	3007	3446
233	3020	3433
234	3033	3420
235	3046	3407
236	3058	3393
237	3071	3380
238	3083	3367
239	3096	3354
240	3109	3341
241	3122	3328
242	3134	3315
243	3147	3302
244	3160	3289
245	3173	3276
246	3186	3263
247	3198	3250
248	3211	3237
249	3224	3224
250	3237	3211
251	3249	3198
252	3262	3184
253	3274	3171
254	3287	3158
255	3300	3145
256	3312	3132
257	3325	3119
258	3338	3106
259	3351	3093
260	3364	3081
261	3378	3068
262	3390	3055
263	3403	3042
264	3416	3029
265	3429	3016
266	3442	3003
267	3454	2990
268	3467	2977
269	3479	2963
270	3492	2951
271	3505	2938
272	3518	2925
273	3530	2912
274	3542	2898
275	3555	2885
276	3568	2872
277	3580	2859
278	3593	2846
279	3606	2833
280	3619	2820
281	3632	2807
282	3645	2795
283	3658	2782
284	3671	2769
285	3683	2756
286	3696	2743
287	3709	2730
288	3722	2717
289	3734	2704
290	3746	2690
291	3759	2677
292	3772	2664
293	3784	2651
294	3797	2638
295	3810	2626
296	3823	2613
297	3836	2600
298	3849	2587
299	3862	2574
300	3874	2561
301	3887	2548
302	3900	2535
303	3912	2522
304	3925	2509
305	3938	2496
306	3950	2483
307	3963	2470
308	3975	2457
309	3988	2444
310	4001	2431
311	4013	2418
312	4026	2405
313	4038	2392
314	4051	2379
315	4064	2366
316	4077	2354
317	4090	2341
318	4103	2328
319	4116	2315
320	4128	2302
321	4140	2289
322	4154	2276
323	4166	2263
324	4179	2250
325	4192	2237
326	4205	2224
327	4217	2211
328	4230	2198
329	4243	2185
330	4255	2172
331	4268	2159
332	4281	2146
333	4293	2133
334	4306	2121
335	4319	2108
336	4332	2095
337	4345	2082
338	4358	2070
339	4371	2057
340	4383	2044
341	4396	2031
342	4409	2018
343	4422	2005
344	4435	1992
345	4448	1979
346	4460	1966
347	4473	1954
348	4486	1941
349	4499	1928
350	4512	1915
351	4524	1902
352	4537	1889
353	4550	1876
354	4562	1863
355	4575	1850
356	4588	1837
357	4600	1824
358	4613	1811
359	4625	1798
360	4638	1786
361	4651	1773
362	4664	1760
363	4677	1747
364	4690	1734
365	4703	1721
366	4716	1709
367	4728	1696
368	4741	1683
369	4754	1670
370	4766	1657
371	4779	1644
372	4792	1631
373	4804	1618
374	4817	1605
375	4829	1592
376	4842	1580
377	4854	1566
378	4867	1553
379	4879	1540
380	4891	1527
381	4904	1515
382	4917	1502
383	4930	1489
384	4943	1476
385	4955	1463
386	4968	1450
387	4981	1438
388	4994	1425
389	5007	1412
390	5019	1399
391	5032	1386
392	5045	1373
393	5058	1360
394	5071	1348
395	5084	1335
396	5097	1322
397	5110	1309
398	5122	1296
399	5135	1283
400	5148	1271
401	5160	1258
402	5173	1245
403	5185	1232
404	5198	1219
405	5211	1206
406	5224	1193
407	5237	1181
408	5250	1168
409	5263	1155
410	5276	1142
411	5289	1129
412	5302	1116
413	5314	1103
414	5327	1091
415	5340	1078
416	5353	1065
417	5366	1052
418	5378	1039
419	5391	1026
420	5403	1013
421	5416	1001
422	5429	988
423	5442	975
424	5455	962
425	5468	949
426	5481	937
427	5494	924
428	5508	911
429	5521	898
430	5533	885
431	5545	872
432	5558	860
433	5571	847
434	5584	834
435	5596	821
436	5609	808
437	5622	795
438	5634	782
439	5647	770
440	5659	757
441	5671	744
442	5684	731
443	5697	718
444	5709	705
445	5721	692
446	5734	679
447	5747	667
448	5760	654
449	5773	641
450	5786	628
451	5798	615
452	5812	603
453	5825	590
454	5838	577
455	5850	564
456	5863	551
457	5876	538
458	5888	526
459	5901	513
460	5913	500
461	5926	487
462	5939	474
463	5952	461
464	5965	448
465	5978	436
466	5990	423
467	6003	410
468	6016	397
469	6029	384
470	6041	372
471	6054	359
472	6067	346
473	6080	333
474	6093	320
475	6106	307
476	6118	295
477	6132	282
478	6144	269
479	6157	256
480	6169	243
481	6182	230
482	6195	218
483	6208	205
484	6221	192
485	6234	179
486	6247	166
487	6260	153
488	6274	141
489	6287	128
490	6301	115
491	6316	102
492	6331	89
493	6345	77
494	6360	64
495	6375	51
496	6387	38
497	6401	25
498	6414	12
499	6427	0
